Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
EU-20240517-0011,17/05/2024,23/05/2024,First Class,CZ-9996,Eva Dvořáková,Consumer,Czechia,Hradec Králové,Hradec Králové Region,50002,South,P-94651,Furniture,Tables,Conference Table 2m,627.06,2,0,128.38
EU-20240904-0012,04/09/2024,10/09/2024,Same Day,CZ-8385,Katerina Malá,Home Office,Czechia,Liberec,Liberec Region,46000,South,P-16910,Furniture,Tables,Coffee Table Modern,961.77,3,0,98.26
EU-20250507-0013,07/05/2025,08/05/2025,Standard Class,CZ-8035,Eva Dvořáková,Consumer,Czechia,České Budějovice,South Bohemian,37001,West,P-60636,Furniture,Bookcases,Classic Oak Bookcase,1067.17,9,0.1,19.39
EU-20230406-0014,06/04/2023,09/04/2023,Same Day,CZ-7892,Lukáš Černý,Corporate,Czechia,Brno,South Moravian,60200,South,P-77214,Technology,Phones,Business Phone Pro,733.95,7,0,145.01
EU-20250418-0015,18/04/2025,20/04/2025,First Class,CZ-4157,Jakub Veselý,Consumer,Czechia,Liberec,Liberec Region,46000,East,P-32299,Technology,Phones,Smartphone X Lite,1061.2,4,0.3,-225.23
EU-20250306-0016,06/03/2025,09/03/2025,Standard Class,CZ-6450,Lukáš Černý,Home Office,Czechia,Liberec,Liberec Region,46000,Central,P-28047,Furniture,Chairs,Ergo Mesh Chair,4186.8,9,0,892.55
EU-20230813-0017,13/08/2023,13/08/2023,Standard Class,CZ-2306,Katerina Malá,Consumer,Czechia,Ostrava,Moravian-Silesian,70030,East,P-71373,Technology,Copiers,Office Copier 3000,3642.12,9,0,1063.13
EU-20241210-0018,10/12/2024,12/12/2024,Standard Class,CZ-1663,Anna Procházková,Consumer,Czechia,Olomouc,Olomouc Region,77900,East,P-44766,Office Supplies,Binders,Staples Binders Pack,47.34,9,0,13.88
EU-20230423-0019,23/04/2023,28/04/2023,Second Class,CZ-7585,Eva Dvořáková,Home Office,Czechia,České Budějovice,South Bohemian,37001,West,P-72003,Technology,Phones,Smartphone X Lite,635.76,8,0.1,80.28
EU-20230423-0020,23/04/2023,27/04/2023,Same Day,CZ-1854,Anna Procházková,Home Office,Czechia,Ostrava,Moravian-Silesian,70030,East,P-48623,Technology,Accessories,USB-C Hub 7-in-1,890.4,7,0,155.98
EU-20230222-0021,22/02/2023,25/02/2023,First Class,CZ-6791,Tomas Horák,Home Office,Czechia,Liberec,Liberec Region,46000,South,P-36309,Technology,Copiers,Office Copier 3000,1227.39,3,0.1,-159.64
EU-20230703-0022,03/07/2023,05/07/2023,First Class,CZ-9004,Jan Novak,Consumer,Czechia,Plzeň,Plzeň Region,30100,Central,P-62083,Technology,Accessories,Wireless Mouse,499.28,4,0,60.8
EU-20250121-0023,21/01/2025,21/01/2025,Standard Class,CZ-5282,Anna Procházková,Consumer,Czechia,Plzeň,Plzeň Region,30100,West,P-61663,Technology,Copiers,Office Copier 3000,2655.67,6,0.1,382.2
EU-20250720-0024,20/07/2025,22/07/2025,Same Day,CZ-3911,Anna Procházková,Corporate,Czechia,Brno,South Moravian,60200,Central,P-77270,Furniture,Bookcases,OfficePro Bookcase,100.72,4,0,10.98
EU-20240704-0025,04/07/2024,05/07/2024,Second Class,CZ-5736,Petr Svoboda,Corporate,Czechia,Plzeň,Plzeň Region,30100,South,P-11802,Technology,Phones,Business Phone Pro,91.31,1,0,12.01
EU-20240219-0026,19/02/2024,24/02/2024,Same Day,CZ-7287,Jan Novak,Corporate,Czechia,Olomouc,Olomouc Region,77900,South,P-26371,Furniture,Tables,Conference Table 2m,1564.47,9,0,410.23
EU-20230911-0027,11/09/2023,14/09/2023,First Class,CZ-5548,Petr Svoboda,Home Office,Czechia,Prague,Prague Region,11000,South,P-39855,Technology,Copiers,Office Copier 3000,320.62,2,0.4,-149.25
EU-20241020-0028,20/10/2024,22/10/2024,Second Class,CZ-2648,Lukáš Černý,Corporate,Czechia,České Budějovice,South Bohemian,37001,Central,P-42711,Furniture,Bookcases,IKEA Billy Bookcase,2865.51,9,0,581.24
EU-20230815-0029,15/08/2023,20/08/2023,Standard Class,CZ-6592,Petr Svoboda,Consumer,Czechia,České Budějovice,South Bohemian,37001,West,P-92018,Office Supplies,Paper,A4 Copy Paper 500,2834.93,8,0.1,-16.45
EU-20231204-0030,04/12/2023,05/12/2023,Same Day,CZ-9352,Jan Novak,Consumer,Czechia,České Budějovice,South Bohemian,37001,South,P-48467,Furniture,Bookcases,OfficePro Bookcase,973.92,2,0,93.55
EU-20240518-0031,18/05/2024,24/05/2024,First Class,CZ-2218,Jakub Veselý,Corporate,Czechia,Hradec Králové,Hradec Králové Region,50002,East,P-96416,Furniture,Chairs,Ergo Mesh Chair,612.2,5,0,45.3
EU-20230122-0032,22/01/2023,27/01/2023,Second Class,CZ-9754,Jan Novak,Corporate,Czechia,Ostrava,Moravian-Silesian,70030,Central,P-86213,Technology,Copiers,All-in-One Printer,425.22,3,0.1,25.86
EU-20240831-0033,31/08/2024,03/09/2024,Same Day,CZ-8022,Eva Dvořáková,Consumer,Czechia,Olomouc,Olomouc Region,77900,West,P-15600,Technology,Copiers,Office Copier 3000,907.04,2,0,158.97
EU-20230711-0034,11/07/2023,11/07/2023,Standard Class,CZ-2060,Anna Procházková,Home Office,Czechia,Ostrava,Moravian-Silesian,70030,West,P-28711,Furniture,Tables,Standing Desk 120cm,274.46,3,0.1,67.9
EU-20241130-0035,30/11/2024,30/11/2024,First Class,CZ-1190,Lukáš Černý,Corporate,Czechia,Prague,Prague Region,11000,West,P-20492,Office Supplies,Binders,Staples Binders Pack,759.24,5,0.1,83.9
EU-20231119-0036,19/11/2023,20/11/2023,Same Day,CZ-1569,Eva Dvořáková,Corporate,Czechia,Olomouc,Olomouc Region,77900,Central,P-61885,Furniture,Tables,Coffee Table Modern,1369.34,7,0,168.69
EU-20240930-0037,30/09/2024,02/10/2024,Standard Class,CZ-2409,Tomas Horák,Consumer,Czechia,České Budějovice,South Bohemian,37001,East,P-55017,Technology,Copiers,All-in-One Printer,318.6,6,0,54.99
EU-20230903-0038,03/09/2023,09/09/2023,First Class,CZ-6986,Eva Dvořáková,Home Office,Czechia,Brno,South Moravian,60200,Central,P-60993,Technology,Copiers,Office Copier 3000,371.68,1,0,39.99
EU-20241115-0039,15/11/2024,18/11/2024,Same Day,CZ-3368,Lukáš Černý,Consumer,Czechia,Olomouc,Olomouc Region,77900,East,P-87575,Office Supplies,Binders,Staples Binders Pack,2735.46,7,0.1,389.99
EU-20230402-0040,02/04/2023,03/04/2023,First Class,CZ-1853,Petr Svoboda,Consumer,Czechia,Liberec,Liberec Region,46000,West,P-62921,Technology,Copiers,Office Copier 3000,1057.41,3,0,176.37
EU-20231208-0041,08/12/2023,08/12/2023,Second Class,CZ-5777,Katerina Malá,Corporate,Czechia,Ostrava,Moravian-Silesian,70030,East,P-63006,Furniture,Tables,Coffee Table Modern,1477.49,6,0.1,243.74
EU-20230222-0042,22/02/2023,25/02/2023,Standard Class,CZ-6315,Petr Svoboda,Corporate,Czechia,Liberec,Liberec Region,46000,South,P-64021,Furniture,Tables,Coffee Table Modern,824.8,5,0.1,33.02
EU-20250516-0043,16/05/2025,22/05/2025,Second Class,CZ-8079,Lukáš Černý,Corporate,Czechia,Prague,Prague Region,11000,West,P-83523,Technology,Accessories,Mechanical Keyboard,122.32,4,0,34.45
EU-20241031-0044,31/10/2024,02/11/2024,Standard Class,CZ-6177,Eva Dvořáková,Consumer,Czechia,Hradec Králové,Hradec Králové Region,50002,West,P-35945,Furniture,Tables,Conference Table 2m,127.28,2,0.1,18.8
EU-20230507-0045,07/05/2023,07/05/2023,Standard Class,CZ-2931,Lukáš Černý,Consumer,Czechia,Ostrava,Moravian-Silesian,70030,South,P-84740,Technology,Phones,Business Phone Pro,87.75,5,0,9.81
EU-20230406-0046,06/04/2023,11/04/2023,Standard Class,CZ-5070,Katerina Malá,Home Office,Czechia,Plzeň,Plzeň Region,30100,Central,P-39375,Office Supplies,Binders,Heavy-Duty Binder,33.81,1,0,5.59
EU-20250820-0047,20/08/2025,23/08/2025,Second Class,CZ-5249,Jakub Veselý,Consumer,Czechia,Ostrava,Moravian-Silesian,70030,Central,P-77215,Technology,Accessories,USB-C Hub 7-in-1,1341.17,6,0.2,-111.03
EU-20250831-0048,31/08/2025,03/09/2025,Second Class,CZ-7617,Lukáš Černý,Home Office,Czechia,Olomouc,Olomouc Region,77900,South,P-45247,Furniture,Bookcases,Classic Oak Bookcase,501.18,6,0,72.42
EU-20250103-0049,03/01/2025,07/01/2025,Second Class,CZ-6881,Anna Procházková,Corporate,Czechia,Hradec Králové,Hradec Králové Region,50002,West,P-33049,Furniture,Tables,Standing Desk 120cm,1617.68,4,0,190.93
EU-20230811-0050,11/08/2023,12/08/2023,Second Class,CZ-5611,Jakub Veselý,Consumer,Czechia,Plzeň,Plzeň Region,30100,Central,P-37663,Office Supplies,Storage,File Cabinet 2-Drawer,1899.32,4,0,332.99
EU-20250914-0051,14/09/2025,16/09/2025,Same Day,CZ-1851,Katerina Malá,Home Office,Czechia,Liberec,Liberec Region,46000,East,P-28071,Office Supplies,Storage,Plastic Storage Box,195.66,7,0.3,-86.04
EU-20250717-0052,17/07/2025,21/07/2025,Standard Class,CZ-9002,Jakub Veselý,Consumer,Czechia,Ostrava,Moravian-Silesian,70030,East,P-48304,Furniture,Bookcases,OfficePro Bookcase,918.54,3,0.1,25.57
EU-20250123-0053,23/01/2025,25/01/2025,Second Class,CZ-9967,Lukáš Černý,Home Office,Czechia,Brno,South Moravian,60200,South,P-98668,Office Supplies,Storage,File Cabinet 2-Drawer,654.96,2,0,114.17
EU-20250621-0054,21/06/2025,24/06/2025,Same Day,CZ-1412,Petr Svoboda,Corporate,Czechia,Prague,Prague Region,11000,Central,P-17543,Furniture,Tables,Conference Table 2m,846.42,2,0,222.98
EU-20241106-0055,06/11/2024,07/11/2024,First Class,CZ-6988,Lukáš Černý,Home Office,Czechia,Olomouc,Olomouc Region,77900,West,P-28888,Technology,Accessories,USB-C Hub 7-in-1,1106.58,5,0.4,-601.46
EU-20240701-0056,01/07/2024,02/07/2024,Second Class,CZ-7806,Anna Procházková,Home Office,Czechia,Hradec Králové,Hradec Králové Region,50002,East,P-17357,Technology,Accessories,Mechanical Keyboard,515.56,3,0.4,-222.87
EU-20231006-0057,06/10/2023,06/10/2023,Standard Class,CZ-3914,Lukáš Černý,Home Office,Czechia,Liberec,Liberec Region,46000,South,P-31352,Office Supplies,Art,Marker Set 24,254.81,1,0.1,57.25
EU-20250529-0058,29/05/2025,29/05/2025,Same Day,CZ-1395,Anna Procházková,Corporate,Czechia,Olomouc,Olomouc Region,77900,South,P-73932,Office Supplies,Paper,Photo Paper Glossy,172.78,1,0.1,4.88
EU-20241218-0059,18/12/2024,24/12/2024,First Class,CZ-5946,Petr Svoboda,Corporate,Czechia,Ostrava,Moravian-Silesian,70030,West,P-70921,Technology,Accessories,USB-C Hub 7-in-1,4078.44,9,0,835.35
EU-20240131-0060,31/01/2024,31/01/2024,Standard Class,CZ-4636,Jan Novak,Consumer,Czechia,Plzeň,Plzeň Region,30100,Central,P-70566,Furniture,Tables,Conference Table 2m,1588.8,5,0,469.1
EU-20230211-0061,11/02/2023,12/02/2023,Second Class,CZ-7541,Jakub Veselý,Corporate,Czechia,Brno,South Moravian,60200,South,P-19348,Furniture,Chairs,Stackable Chair Set,2742.18,7,0,434.51
EU-20230109-0062,09/01/2023,10/01/2023,Same Day,CZ-2542,Anna Procházková,Consumer,Czechia,Ostrava,Moravian-Silesian,70030,West,P-31677,Office Supplies,Art,Marker Set 24,443.8,2,0.4,-168.06
EU-20240925-0063,25/09/2024,26/09/2024,Second Class,CZ-2540,Petr Svoboda,Home Office,Czechia,České Budějovice,South Bohemian,37001,West,P-98092,Furniture,Tables,Coffee Table Modern,2534.26,9,0.2,-84.32
EU-20231231-0064,31/12/2023,31/12/2023,Same Day,CZ-8494,Tomas Horák,Home Office,Czechia,Olomouc,Olomouc Region,77900,South,P-47080,Office Supplies,Paper,Photo Paper Glossy,126.87,3,0.1,14.86
EU-20240219-0065,19/02/2024,21/02/2024,First Class,CZ-7588,Tomas Horák,Consumer,Czechia,České Budějovice,South Bohemian,37001,East,P-36790,Furniture,Tables,Conference Table 2m,1191.92,4,0,170.83
EU-20240326-0066,26/03/2024,30/03/2024,First Class,CZ-7619,Anna Procházková,Home Office,Czechia,České Budějovice,South Bohemian,37001,West,P-67799,Technology,Phones,Business Phone Pro,644.97,3,0,117.05
EU-20240122-0067,22/01/2024,26/01/2024,Second Class,CZ-1504,Jakub Veselý,Consumer,Czechia,Brno,South Moravian,60200,Central,P-38016,Office Supplies,Storage,File Cabinet 2-Drawer,454.9,9,0.2,1.76
EU-20230514-0068,14/05/2023,15/05/2023,First Class,CZ-6348,Tomas Horák,Corporate,Czechia,Brno,South Moravian,60200,South,P-40354,Technology,Phones,Smartphone X Lite,46.03,1,0,7.46
EU-20231101-0069,01/11/2023,06/11/2023,Standard Class,CZ-4486,Jakub Veselý,Home Office,Czechia,Hradec Králové,Hradec Králové Region,50002,South,P-62736,Office Supplies,Binders,Staples Binders Pack,969.6,2,0,173.55
EU-20240415-0070,15/04/2024,15/04/2024,Second Class,CZ-8575,Tomas Horák,Corporate,Czechia,Liberec,Liberec Region,46000,South,P-76203,Office Supplies,Binders,Heavy-Duty Binder,1893.84,6,0,362.6
EU-20241128-0071,28/11/2024,01/12/2024,First Class,CZ-1539,Jakub Veselý,Corporate,Czechia,České Budějovice,South Bohemian,37001,West,P-37355,Furniture,Chairs,Executive Leather Chair,684.6,4,0,156.12
EU-20240516-0072,16/05/2024,22/05/2024,Standard Class,CZ-8891,Petr Svoboda,Corporate,Czechia,Ostrava,Moravian-Silesian,70030,West,P-45547,Technology,Phones,Business Phone Pro,440.09,4,0.4,-49.13
EU-20240816-0073,16/08/2024,18/08/2024,First Class,CZ-1255,Jakub Veselý,Consumer,Czechia,České Budějovice,South Bohemian,37001,Central,P-80340,Technology,Accessories,Wireless Mouse,333.89,3,0.2,-20.45
EU-20250308-0074,08/03/2025,09/03/2025,First Class,CZ-2015,Jakub Veselý,Corporate,Czechia,Olomouc,Olomouc Region,77900,East,P-71813,Office Supplies,Paper,Photo Paper Glossy,617.28,2,0,171.94
EU-20231009-0075,09/10/2023,15/10/2023,Second Class,CZ-4925,Petr Svoboda,Corporate,Czechia,Prague,Prague Region,11000,West,P-16970,Office Supplies,Binders,Heavy-Duty Binder,406.22,1,0,66.96
EU-20230409-0076,09/04/2023,15/04/2023,Second Class,CZ-3000,Anna Procházková,Consumer,Czechia,Plzeň,Plzeň Region,30100,Central,P-70100,Technology,Phones,Smartphone X Lite,421.85,1,0,79.6
EU-20230123-0077,23/01/2023,27/01/2023,First Class,CZ-4636,Katerina Malá,Corporate,Czechia,Brno,South Moravian,60200,Central,P-20916,Furniture,Chairs,Stackable Chair Set,2099.41,6,0.3,-346.59
EU-20230319-0078,19/03/2023,19/03/2023,Standard Class,CZ-5976,Jan Novak,Corporate,Czechia,Brno,South Moravian,60200,Central,P-55543,Furniture,Tables,Coffee Table Modern,1139.28,3,0,329.81
EU-20230907-0079,07/09/2023,08/09/2023,Second Class,CZ-1770,Petr Svoboda,Home Office,Czechia,Plzeň,Plzeň Region,30100,West,P-42049,Office Supplies,Art,Highlighters Neon 6,2487.76,8,0,341.22
EU-20250916-0080,16/09/2025,21/09/2025,Same Day,CZ-3814,Katerina Malá,Corporate,Czechia,Brno,South Moravian,60200,West,P-29758,Technology,Accessories,USB-C Hub 7-in-1,1536.59,6,0.4,-648.18
EU-20240731-0081,31/07/2024,02/08/2024,Same Day,CZ-5530,Petr Svoboda,Corporate,Czechia,Olomouc,Olomouc Region,77900,West,P-69494,Furniture,Tables,Coffee Table Modern,959.26,5,0.1,-29.17
EU-20230408-0082,08/04/2023,09/04/2023,First Class,CZ-2331,Tomas Horák,Consumer,Czechia,Ostrava,Moravian-Silesian,70030,South,P-63413,Office Supplies,Storage,File Cabinet 2-Drawer,145,2,0,39.83
EU-20230322-0083,22/03/2023,26/03/2023,First Class,CZ-5892,Tomas Horák,Consumer,Czechia,Olomouc,Olomouc Region,77900,Central,P-49811,Office Supplies,Art,Highlighters Neon 6,1437.66,7,0.1,388.39
EU-20240522-0084,22/05/2024,25/05/2024,Same Day,CZ-6569,Katerina Malá,Consumer,Czechia,Hradec Králové,Hradec Králové Region,50002,East,P-79836,Furniture,Chairs,Stackable Chair Set,232.38,1,0,34.69
EU-20241024-0085,24/10/2024,30/10/2024,First Class,CZ-7238,Lukáš Černý,Corporate,Czechia,Olomouc,Olomouc Region,77900,East,P-16090,Furniture,Chairs,Ergo Mesh Chair,293,3,0.1,26.9
EU-20250618-0086,18/06/2025,18/06/2025,Same Day,CZ-5188,Tomas Horák,Home Office,Czechia,Brno,South Moravian,60200,Central,P-85697,Technology,Phones,Smartphone X Lite,589.76,8,0,109.11
EU-20230105-0087,05/01/2023,06/01/2023,Standard Class,CZ-5777,Lukáš Černý,Consumer,Czechia,České Budějovice,South Bohemian,37001,South,P-46668,Technology,Phones,Business Phone Pro,908.88,3,0,94.15
EU-20230821-0088,21/08/2023,24/08/2023,First Class,CZ-8240,Tomas Horák,Home Office,Czechia,Plzeň,Plzeň Region,30100,East,P-33321,Furniture,Chairs,Stackable Chair Set,124.44,6,0,27.91
EU-20230225-0089,25/02/2023,02/03/2023,Same Day,CZ-3878,Lukáš Černý,Corporate,Czechia,Hradec Králové,Hradec Králové Region,50002,East,P-62796,Technology,Copiers,All-in-One Printer,3245.75,9,0.1,634.11
EU-20240916-0090,16/09/2024,18/09/2024,Standard Class,CZ-1638,Eva Dvořáková,Corporate,Czechia,Brno,South Moravian,60200,Central,P-10055,Office Supplies,Storage,Plastic Storage Box,20.1,4,0.2,0.56
EU-20240121-0091,21/01/2024,25/01/2024,First Class,CZ-7809,Petr Svoboda,Home Office,Czechia,České Budějovice,South Bohemian,37001,East,P-14621,Furniture,Bookcases,Classic Oak Bookcase,1542.49,7,0.1,216.06
EU-20240914-0092,14/09/2024,20/09/2024,Standard Class,CZ-9172,Eva Dvořáková,Corporate,Czechia,Olomouc,Olomouc Region,77900,Central,P-98869,Furniture,Chairs,Ergo Mesh Chair,210.95,3,0.1,-38.98
EU-20230128-0093,28/01/2023,29/01/2023,Same Day,CZ-2062,Petr Svoboda,Home Office,Czechia,Liberec,Liberec Region,46000,Central,P-60448,Office Supplies,Binders,Staples Binders Pack,1934.28,9,0.2,-264.91
EU-20230731-0094,31/07/2023,31/07/2023,First Class,CZ-7371,Eva Dvořáková,Corporate,Czechia,České Budějovice,South Bohemian,37001,South,P-36069,Furniture,Tables,Conference Table 2m,690.92,9,0.3,-201.78
EU-20250117-0095,17/01/2025,19/01/2025,Same Day,CZ-3472,Petr Svoboda,Corporate,Czechia,Brno,South Moravian,60200,West,P-70004,Furniture,Chairs,Executive Leather Chair,2127.53,8,0.1,65.5
EU-20231111-0096,11/11/2023,15/11/2023,First Class,CZ-2460,Petr Svoboda,Home Office,Czechia,Ostrava,Moravian-Silesian,70030,Central,P-37285,Technology,Copiers,Office Copier 3000,369.46,2,0,51.83
EU-20240530-0097,30/05/2024,04/06/2024,Same Day,CZ-7986,Tomas Horák,Home Office,Czechia,Hradec Králové,Hradec Králové Region,50002,Central,P-86125,Furniture,Bookcases,Classic Oak Bookcase,699.24,6,0,136.73
EU-20250617-0098,17/06/2025,19/06/2025,Standard Class,CZ-6966,Anna Procházková,Home Office,Czechia,Liberec,Liberec Region,46000,West,P-10117,Office Supplies,Storage,File Cabinet 2-Drawer,508.59,7,0.2,-53.27
EU-20240727-0099,27/07/2024,27/07/2024,Second Class,CZ-5289,Petr Svoboda,Consumer,Czechia,Brno,South Moravian,60200,Central,P-10846,Technology,Phones,Business Phone Pro,849.02,8,0.2,-33.55
EU-20241006-0100,06/10/2024,11/10/2024,Standard Class,CZ-7283,Anna Procházková,Corporate,Czechia,České Budějovice,South Bohemian,37001,South,P-77584,Furniture,Bookcases,OfficePro Bookcase,647.62,3,0.2,-57.68
EU-20230519-0101,19/05/2023,25/05/2023,Second Class,CZ-7988,Jakub Veselý,Corporate,Czechia,Brno,South Moravian,60200,Central,P-57362,Office Supplies,Storage,File Cabinet 2-Drawer,1659.2,6,0.1,267.65
EU-20230918-0102,18/09/2023,24/09/2023,Standard Class,CZ-6287,Jan Novak,Consumer,Czechia,Ostrava,Moravian-Silesian,70030,East,P-44387,Furniture,Tables,Standing Desk 120cm,61.3,2,0,17.9
EU-20250215-0103,15/02/2025,17/02/2025,Same Day,CZ-4490,Lukáš Černý,Consumer,Czechia,Liberec,Liberec Region,46000,South,P-52078,Furniture,Chairs,Stackable Chair Set,655.25,5,0,105.91
EU-20240111-0104,11/01/2024,13/01/2024,Standard Class,CZ-6951,Jakub Veselý,Consumer,Czechia,České Budějovice,South Bohemian,37001,South,P-97388,Technology,Accessories,Mechanical Keyboard,930.24,2,0,161
EU-20250407-0105,07/04/2025,12/04/2025,Second Class,CZ-5820,Jan Novak,Consumer,Czechia,Liberec,Liberec Region,46000,West,P-25524,Technology,Accessories,USB-C Hub 7-in-1,534.17,9,0.2,-5.04
EU-20230211-0106,11/02/2023,11/02/2023,Same Day,CZ-7943,Lukáš Černý,Corporate,Czechia,Prague,Prague Region,11000,Central,P-21954,Technology,Accessories,USB-C Hub 7-in-1,1632.84,4,0,359.33
EU-20230523-0107,23/05/2023,23/05/2023,First Class,CZ-3712,Jakub Veselý,Corporate,Czechia,České Budějovice,South Bohemian,37001,West,P-77728,Furniture,Tables,Conference Table 2m,251.14,1,0.2,-54.17
EU-20250331-0108,31/03/2025,02/04/2025,Same Day,CZ-2202,Lukáš Černý,Corporate,Czechia,Ostrava,Moravian-Silesian,70030,East,P-34519,Office Supplies,Storage,Plastic Storage Box,2836.83,7,0.1,829.38
EU-20241030-0109,30/10/2024,30/10/2024,First Class,CZ-9669,Lukáš Černý,Consumer,Czechia,Prague,Prague Region,11000,South,P-19446,Technology,Accessories,USB-C Hub 7-in-1,1114.85,4,0.2,-187.57
EU-20250923-0110,23/09/2025,25/09/2025,Standard Class,CZ-2865,Anna Procházková,Corporate,Czechia,Prague,Prague Region,11000,South,P-53872,Office Supplies,Binders,Heavy-Duty Binder,1385.81,6,0.2,-243.87
EU-20250805-0111,05/08/2025,11/08/2025,Second Class,CZ-4228,Lukáš Černý,Consumer,Czechia,České Budějovice,South Bohemian,37001,South,P-30103,Technology,Accessories,USB-C Hub 7-in-1,223.76,4,0,33.08
EU-20230510-0112,10/05/2023,12/05/2023,Standard Class,CZ-1793,Anna Procházková,Consumer,Czechia,České Budějovice,South Bohemian,37001,South,P-81315,Technology,Phones,Business Phone Pro,253.47,4,0.2,-41.47
EU-20241212-0113,12/12/2024,18/12/2024,Second Class,CZ-1814,Petr Svoboda,Consumer,Czechia,Prague,Prague Region,11000,South,P-86077,Technology,Phones,Business Phone Pro,683.21,8,0.1,-0.52
EU-20250911-0114,11/09/2025,11/09/2025,First Class,CZ-4876,Jakub Veselý,Home Office,Czechia,České Budějovice,South Bohemian,37001,East,P-10126,Office Supplies,Binders,Staples Binders Pack,2227.68,8,0.1,176.35
EU-20230129-0115,29/01/2023,03/02/2023,Second Class,CZ-4368,Eva Dvořáková,Corporate,Czechia,České Budějovice,South Bohemian,37001,Central,P-13797,Office Supplies,Art,Marker Set 24,724.59,9,0,88.36
EU-20240209-0116,09/02/2024,10/02/2024,First Class,CZ-3708,Lukáš Černý,Consumer,Czechia,Olomouc,Olomouc Region,77900,East,P-21694,Furniture,Chairs,Executive Leather Chair,455.79,1,0,-10.53
EU-20231109-0117,09/11/2023,13/11/2023,Same Day,CZ-8970,Katerina Malá,Home Office,Czechia,Ostrava,Moravian-Silesian,70030,South,P-35150,Technology,Copiers,All-in-One Printer,288.99,9,0,39.9
EU-20230729-0118,29/07/2023,31/07/2023,Second Class,CZ-5971,Jakub Veselý,Home Office,Czechia,Olomouc,Olomouc Region,77900,Central,P-89026,Office Supplies,Art,Highlighters Neon 6,1261.08,6,0,260.87
EU-20241210-0119,10/12/2024,14/12/2024,Same Day,CZ-6975,Jakub Veselý,Home Office,Czechia,Olomouc,Olomouc Region,77900,South,P-56240,Furniture,Chairs,Ergo Mesh Chair,1150.83,9,0,53.49
EU-20250531-0120,31/05/2025,04/06/2025,First Class,CZ-4432,Petr Svoboda,Consumer,Czechia,České Budějovice,South Bohemian,37001,West,P-59840,Technology,Copiers,Office Copier 3000,1106.28,6,0,159.71
EU-20241201-0121,01/12/2024,01/12/2024,Second Class,CZ-5422,Petr Svoboda,Corporate,Czechia,Prague,Prague Region,11000,Central,P-85520,Office Supplies,Binders,Heavy-Duty Binder,1685.22,6,0,301.42
EU-20250809-0122,09/08/2025,11/08/2025,Same Day,CZ-5524,Katerina Malá,Corporate,Czechia,Hradec Králové,Hradec Králové Region,50002,West,P-52460,Office Supplies,Storage,File Cabinet 2-Drawer,1108.94,7,0,239.36
